Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-0.697744,50.787996,On or near West Meads Drive,E01031382,Arun 018C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.144108,51.354973,On or near Honeybottom Road,E01022553,Basingstoke and Deane 001A,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.149700,51.353134,On or near Southdown Road,E01022553,Basingstoke and Deane 001A,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.144834,51.353800,On or near Stanfield,E01022553,Basingstoke and Deane 001A,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.144702,51.350823,On or near Lambdens Walk,E01022553,Basingstoke and Deane 001A,Anti-social behaviour,,
77adec36087ff7d2ad8f496c0dca8ecf60aa5d6c99c9fd41b50c90697bf0add9,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.147257,51.356299,On or near Brackenwood Drive,E01022553,Basingstoke and Deane 001A,Burglary,Status update unavailable,
0ef23d1cb491375bcd61636e96ccb91bc57e5f62e5a0ff80016fc467e32a245d,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.144108,51.354973,On or near Honeybottom Road,E01022553,Basingstoke and Deane 001A,Criminal damage and arson,Investigation complete; no suspect identified, 
52e4e2ff2c68cbea366ab6adfe8b6bcf70a15b9dc03261c91f0c4369b26ce79c,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.148147,51.350911,On or near Ashurst Close,E01022553,Basingstoke and Deane 001A,Violence and sexual offences,Status update unavailable,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.157668,51.354819,On or near Wigmore Road,E01022554,Basingstoke and Deane 001B,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.158675,51.351598,On or near Bishopswood Lane,E01022554,Basingstoke and Deane 001B,Anti-social behaviour,,
00533296f90ac18c94365b048df46ac9cef43be483c631c62262fd79cb48cac5,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.151854,51.357016,On or near Supermarket,E01022554,Basingstoke and Deane 001B,Public order,Offender given penalty notice,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.144136,51.352716,On or near Reynards Close,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.141741,51.354829,On or near The Parade,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.136627,51.357229,On or near Parking Area,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.141212,51.355464,On or near Supermarket,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.141662,51.354469,On or near Police Station,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.141212,51.355464,On or near Supermarket,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.133567,51.357251,On or near Sports/Recreation Area,E01022555,Basingstoke and Deane 001C,Anti-social behaviour,,
e096b2612da1c31926702584efcf3a11f0c58f32f821ec6565bbdc5dcd63dd84,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.133567,51.357251,On or near Sports/Recreation Area,E01022555,Basingstoke and Deane 001C,Criminal damage and arson,Unable to prosecute suspect,
1aef45ee192bf8474f824b37dc1dfd7f94994eeac328093571ff4e72f3a04485,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.140311,51.354540,On or near Anderson Gardens,E01022555,Basingstoke and Deane 001C,Criminal damage and arson,Unable to prosecute suspect,
e1815c77165dfde610f36f07919b81d809f4649377c6190e770702b5c4dbd3b5,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.133567,51.357251,On or near Sports/Recreation Area,E01022555,Basingstoke and Deane 001C,Violence and sexual offences,Unable to prosecute suspect,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.158569,51.359690,On or near Heather Drive,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.147813,51.357301,On or near Meon Close,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.161395,51.358326,On or near O'Bee Gardens,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.154998,51.356310,On or near Bishopswood Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.154998,51.356310,On or near Bishopswood Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.154998,51.356310,On or near Bishopswood Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.154998,51.356310,On or near Bishopswood Road,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
,2016-08,Hampshire Constabulary,Hampshire Constabulary,-1.147813,51.357301,On or near Meon Close,E01022556,Basingstoke and Deane 001D,Anti-social behaviour,,
